,epoch,training_time,NO2_median,NO2_mean,CO_median,CO_mean,O3_median,O3_mean
0,1.0,35.766844,12.69737,14.442038,26.683159,26.611034,24.682869,36.715397
0,2.0,25.812952,12.630685,14.446743,26.682909,26.608734,24.657066,36.717323
0,3.0,28.138732,12.675744,14.459095,26.685503,26.60544,24.670473,36.712223
0,4.0,30.122429,12.704642,14.444534,26.686905,26.617176,24.705965,36.720966
0,5.0,33.089491,12.649164,14.446151,26.679964,26.606817,24.690027,36.718567
0,6.0,46.225355,12.64447,14.442342,26.681053,26.605017,24.638365,36.720352
0,7.0,41.762293,12.626395,14.436919,26.682224,26.608734,24.642498,36.718258
0,8.0,29.332541,12.640426,14.439569,26.677769,26.603325,24.634247,36.725285
0,9.0,26.883092,12.676355,14.452358,26.683487,26.613134,24.67941,36.71165
0,10.0,27.78069,12.662917,14.444918,26.677263,26.60539,24.63541,36.720592
