,epoch,training_time,NO2_median,NO2_mean,CO_median,CO_mean,O3_median,O3_mean
0,1.0,25.875956,0.655941595044243,0.7764216668264026,0.6875529716370785,0.7982593180165606,0.6727202817845059,0.778092740571673
0,2.0,28.796153,0.6899594704107812,0.8016114422677888,0.6647113699929152,0.7979652587324223,0.6779579455126938,0.794869935085221
0,3.0,28.272965,0.6652679842428599,0.7811844884138376,0.6589053539359914,0.7709169048753394,0.6732347453985077,0.7840808530033662
0,4.0,28.472036,0.6589645898903486,0.762318746965384,0.669306259814237,0.7993208994098601,0.6816573555068544,0.8242977969023257
0,5.0,29.440033,0.6258466383097756,0.7612661355176219,0.6696651791117992,0.7882231594370268,0.67357302711164,0.7945532301058859
0,6.0,42.524135,0.6754318541161597,0.7823464097874526,0.6583027512771737,0.7779670211605049,0.6707078214098448,0.7894223333106748
0,7.0,26.861357,0.674009222547183,0.8009396827222299,0.6678632192722073,0.7728613375953575,0.651076388011707,0.7644010276944064
0,8.0,39.879923,0.6754873726263517,0.7889103170570557,0.658749716319557,0.7962501062878327,0.6862586782057742,0.7985629245996161
0,9.0,32.119637,0.6656064529435073,0.7797709555139513,0.6695045955230339,0.8323628478186131,0.6866182298494841,0.7923710094616412
0,10.0,29.758741,0.6758630296276114,0.7854323457898661,0.6674019145142973,0.8041818239782147,0.667687265880456,0.794541717705916
