,Time,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,TEMP_BME,TEMP,HUM_BME,HUM,PM10,Biossido di Azoto,Biossido Zolfo,Ozono,Ossido di Carbonio
0,2021-09-22 23:00:00,91.67833333333336,3230751.4,90.0783333333333,2954990.05,96.67833333333328,15505550.7,96.35833333333338,21285394.1,105.1283333333334,179632943.46666667,104.64,137759101.6,97.47499999999994,137419909.86666667,103.4166666666666,156455686.13333333,2.0,43.11666666666667,21.5,16.33333333333333,17,16,1,39,0.8
1,2021-09-23 00:00:00,91.585,3546080.7666666666,90.01666666666667,3317771.783333333,96.58,13856091.916666666,96.30666666666674,17286637.966666665,105.08500000000004,155040034.26666668,104.55000000000004,123782528.26666668,97.39833333333333,118256762.66666669,103.32166666666672,154269130.93333334,2.0,41.72833333333332,21.5,17.281666666666677,16,14,2,33,0.8
2,2021-09-23 01:00:00,91.54000000000002,4205595.15,89.95666666666669,4036190.1,96.55833333333338,8432333.733333332,96.30333333333336,7797444.466666667,105.07333333333332,101658137.46666668,104.53500000000004,91896067.73333332,97.39166666666664,79801963.33333333,103.30000000000008,134996604.8,2.0,41.19333333333331,21.5,17.543333333333344,15,12,2,29,0.8
3,2021-09-23 02:00:00,91.54500000000004,4883336.1,89.92166666666671,4769411.233333333,96.54166666666671,8646485.25,96.29333333333336,8042816.9,105.04000000000002,98016962.8,104.53000000000002,90015184.13333334,97.37666666666668,77532909.73333333,103.27500000000006,135342831.2,2.0,40.87833333333332,21.5,17.55833333333334,15,16,1,22,0.8
4,2021-09-23 03:00:00,91.52166666666666,5386940.716666667,89.9366666666667,5346319.3,96.56166666666668,7994827.75,96.2966666666667,7176865.35,105.05833333333332,90153923.2,104.51666666666672,85228718.26666667,97.30999999999996,70097508.66666667,103.295,135708228.0,2.0,40.89500000000002,21.5,17.455000000000005,13,21,1,14,0.8
5,2021-09-23 04:00:00,91.62833333333332,6156810.766666667,89.99833333333335,6211347.1,96.59500000000004,6113916.733333333,96.31333333333338,5155676.983333333,105.07,59699787.333333336,104.525,65951196.93333333,97.395,48616465.93333333,103.31000000000007,132344032.13333334,2.0,41.32999999999999,21.5,16.478333333333346,13,20,2,14,0.8
6,2021-09-23 05:00:00,91.53000000000004,7104873.283333333,89.94666666666669,7163949.1,96.51333333333336,5514654.35,96.29666666666672,4615914.333333333,105.05333333333331,43313819.266666666,104.51333333333336,54272465.6,97.36666666666666,34673291.56666667,103.28166666666672,130654489.2,2.0,40.82666666666667,21.5,16.581666666666663,12,20,1,12,0.8
7,2021-09-23 06:00:00,91.63050847457625,7817613.915254237,90.01016949152543,7870787.694915255,96.64576271186436,5213771.474576271,96.31186440677972,4378357.288135593,105.07966101694922,38927982.06779661,104.56779661016948,50868986.779661015,97.4101694915254,32487068.474576272,103.33389830508484,128381405.83050849,2.0,41.49322033898304,21.5,15.38813559322034,11,23,2,9,0.8
8,2021-09-23 07:00:00,91.52,8319999.8,89.94000000000004,8391110.866666667,96.58666666666667,8153921.283333333,96.27,7970931.983333333,105.01,83494512.33333333,104.4983333333333,82481173.0,97.325,70096090.13333334,103.29333333333338,125009119.33333331,2.0,39.870000000000005,21.5,16.878333333333334,12,29,2,6,0.9
9,2021-09-23 08:00:00,91.42333333333336,7124510.616666666,89.85166666666669,7131819.083333333,96.47333333333336,15220590.1,96.24666666666668,21451174.05,104.93666666666668,174906026.53333333,104.41500000000002,141438251.06666666,97.26666666666672,133353643.46666668,103.28000000000002,143185543.86666667,2.0,38.06833333333332,21.5,18.381666666666668,12,29,2,8,0.8
10,2021-09-23 14:00:00,91.17288135593216,1706260.5423728814,89.57288135593221,1429629.7627118644,96.36949152542373,80889224.81355932,96.12372881355932,118774669.2881356,104.81525423728816,372990319.1864407,104.30677966101702,251080384.0,97.05254237288136,287006794.84745765,103.21694915254233,195397489.62711865,2.0,35.29661016949151,21.5,24.37627118644067,14,14,1,73,0.8
11,2021-09-23 15:00:00,91.21499999999996,1591323.5333333334,89.56166666666667,1305403.0,96.35833333333336,83199699.33333333,96.14333333333332,122105810.8,104.82500000000006,378277661.3333333,104.30333333333338,250907833.3333333,97.0916666666667,286754585.3333333,103.20499999999998,196832422.4,2.0,35.235000000000014,21.5,25.015,13,12,1,78,0.8
12,2021-09-23 16:00:00,91.1916666666666,1541310.7833333334,89.565,1242573.683333333,96.36666666666666,78394636.26666667,96.15166666666664,115122895.06666666,104.8083333333334,358446357.8666667,104.29500000000009,239171586.66666663,97.06833333333334,270790805.6,103.17000000000006,187128428.53333333,2.0,35.03333333333333,21.5,25.36833333333333,14,15,1,76,0.8
13,2021-09-23 17:00:00,91.13499999999998,1625554.5333333334,89.52000000000001,1305752.7333333334,96.35166666666672,68560370.33333333,96.11999999999998,98606800.93333334,104.74666666666668,310292400.53333336,104.25666666666667,212333256.0,97.07833333333336,232261089.6,103.12333333333336,165496035.73333332,2.0,34.485000000000014,21.5,26.00666666666667,17,19,1,75,0.8
14,2021-09-23 18:00:00,91.18666666666664,1779328.4833333334,89.53333333333332,1431746.8333333333,96.33666666666666,56482921.5,96.0833333333333,80232617.8,104.77666666666664,258829980.0,104.27166666666665,184415946.9333333,97.09333333333332,198169907.7333333,103.14666666666668,147320733.6,2.0,34.43166666666664,21.5,26.241666666666667,22,28,1,68,0.8
