,Time,LaFeO3_1,LaFeO3_2,STN_1,STN_2,LaFeO3_1_heatR,LaFeO3_2_heatR,STN_1_heatR,STN_2_heatR,LaFeO3_1_heatV,LaFeO3_2_heatV,STN_1_heatV,STN_2_heatV,Temperature,Relative_Humidity,Pressure,VOC,LaFeO3_1_Age,LaFeO3_2_Age,STN_1_Age,STN_2_Age,sin_hour,cos_hour,sin_weekday,cos_weekday,sin_month,cos_month,sin_ordate,cos_ordate,year,UV,Rain,Wind_Speed,sin_wind,cos_wind,PM10,CO,NO2
5739,2021-11-01 20:00:00,5042308.983050847,5800029.745762712,300743998.91525424,277877289.7627119,87.98305084745763,86.67627118644067,104.87627118644068,103.14237288135593,3.02542372881356,2.966949152542373,4.067457627118644,4.03728813559322,36.18305084745763,19.11864406779661,979.5966101694914,4666.632542372881,16142400,16142400,16142400,10785600,0.2390085077346339,0.1068356339545606,0.0,0.8975979010256552,-0.5235936477602383,0.0023172900477112,0.0034578948729797,-0.0168153141761993,2021,0.0,8.2,3.5,0.0023350580409962,-0.0172963847011994,14.0,0.5,13.0
5740,2021-11-01 21:00:00,4163979.0508474577,4741629.881355932,320063357.2881356,278248324.33898306,88.05593220338983,86.76610169491525,104.95084745762712,103.1864406779661,3.026779661016949,2.968813559322034,4.070508474576272,4.037457627118644,36.81016949152543,17.459322033898303,979.1305084745762,5428.18,16146000,16146000,16146000,10789200,0.2190359339674459,-0.1433951850063944,0.0,0.8975979010256552,-0.5235936477602383,0.0023172900477112,0.0034578948729797,-0.0168153141761993,2021,0.0,0.6000000000000001,3.8166666666666655,0.0142700420365251,0.0100490457289492,16.0,0.5,26.0
5741,2021-11-01 22:00:00,3831139.779661017,4333235.305084745,312399549.0169492,270622042.0338983,88.04237288135593,86.72203389830509,104.93728813559322,103.17457627118644,3.026440677966102,2.967457627118644,4.07,4.037118644067797,36.86271186440678,16.896610169491524,978.3796610169492,5757.445423728813,16149600,16149600,16149600,10792800,-0.0023172673534486,-0.2617891321732475,0.0,0.8975979010256552,-0.5235936477602383,0.0023172900477112,0.0034578948729797,-0.0168153141761993,2021,0.0,0.0,3.95,-0.0036282975518175,0.0170719909987729,16.0,0.6,36.0
5742,2021-11-01 23:00:00,3658309.694915254,4142296.9491525423,308810274.1694915,284531317.69491524,87.98305084745763,86.67796610169492,104.93050847457629,103.15593220338982,3.025593220338983,2.967457627118644,4.069830508474577,4.03728813559322,36.081355932203394,17.552542372881355,978.1898305084744,5768.837966101695,16153200,16153200,16153200,10796400,-0.2215399837562084,-0.1394953585224552,0.0,0.8975979010256552,-0.5235936477602383,0.0023172900477112,0.0034578948729797,-0.0168153141761993,2021,0.0,0.0,3.9333333333333336,0.017453215252816,-5.193385770920586e-05,16.0,0.6,33.0
5743,2021-11-02 00:00:00,3254883.220338983,3682245.627118644,306886324.6101695,278961008.5423729,88.02881355932203,86.74406779661017,104.93050847457629,103.1864406779661,3.026271186440677,2.968813559322034,4.07,4.03677966101695,36.68135593220339,16.728813559322035,978.2627118644068,6469.240847457628,16156800,16156800,16156800,10800000,0.0,0.2617993877991494,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,4.766666666666667,0.0041561284870781,0.0169512246102046,17.0,0.7,46.0
5744,2021-11-02 01:00:00,3088220.8,3469700.3666666667,334961861.6,279588223.2,87.98833333333333,86.68333333333334,104.915,103.19333333333334,3.025,2.9675,4.068666666666667,4.038166666666666,36.27666666666666,16.96333333333333,978.11,6543.147166666667,16160400,16160400,16160400,10803600,0.2202965886734546,0.1414508129027477,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,3.1333333333333333,-0.0171759989915584,0.0030987866058656,14.0,0.6,45.0
5745,2021-11-02 02:00:00,3113269.72881356,3521208.186440678,308143303.3220339,271991132.7457627,87.98813559322035,86.69322033898304,104.89830508474576,103.15593220338982,3.02542372881356,2.967966101694916,4.067966101694916,4.037627118644068,36.25762711864407,17.176271186440676,978.3220338983052,6047.050169491526,16164000,16164000,16164000,10807200,0.2380535096703053,-0.1089469870425945,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,5.166666666666667,0.0174517611658222,0.0002311968810471,10.0,0.6,37.0
5746,2021-11-02 03:00:00,3463911.372881356,3939254.559322034,299595036.2033898,266086871.59322035,87.98305084745763,86.68813559322035,104.91016949152542,103.17627118644069,3.024745762711865,2.96728813559322,4.068813559322034,4.037457627118644,36.21016949152543,17.30677966101695,978.5203389830508,5055.3772881355935,16167600,16167600,16167600,10810800,0.0369451317162842,-0.2591794295357481,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,2.316666666666667,-0.0028449853163331,-0.0172198570939644,6.0,0.6,31.0
5747,2021-11-02 04:00:00,4375352.084745763,4987264.915254237,247932007.05084747,247710734.3728813,88.0,86.70169491525424,104.89322033898304,103.15084745762712,3.02542372881356,2.967627118644068,4.067966101694915,4.03677966101695,36.33898305084746,17.138983050847457,978.8779661016948,3669.628305084746,16171200,16171200,16171200,10814400,-0.1981304299564842,-0.1711234997809129,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,2.716666666666667,-0.0051484298039151,-0.0166766630457314,3.0,0.6,26.0
5748,2021-11-02 05:00:00,6073010.847457627,6995239.694915255,220132905.4915254,225673468.47457623,88.06440677966101,86.76271186440678,104.91016949152542,103.17627118644069,3.026101694915254,2.968983050847458,4.069322033898305,4.036949152542373,36.69152542372882,16.56779661016949,979.3169491525424,2417.328813559322,16174800,16174800,16174800,10818000,-0.251045788052553,0.0742625864960414,0.7553025897375589,0.4849742156665638,-0.5235936477602383,0.0023172900477112,-0.01228129040638,-0.0119950712274261,2021,0.0,0.0,1.5,0.0164155165456752,0.0059285948019215,3.0,0.6,19.0
