,Unnamed: 0.1,Time,ZnOR_1,ZnOR_2,LaFeO3_1,LaFeO3_2,WO3_1,WO3_2,ZnOR_1_heatR,ZnOR_2_heatR,LaFeO3_1_heatR,LaFeO3_2_heatR,WO3_1_heatR,WO3_2_heatR,ZnOR_1_heatV,ZnOR_2_heatV,LaFeO3_1_heatV,LaFeO3_2_heatV,WO3_1_heatV,WO3_2_heatV,Temperature,Relative_Humidity,Pressure,VOC,ZnOR_1_Age,ZnOR_2_Age,LaFeO3_1_Age,LaFeO3_2_Age,WO3_1_Age,WO3_2_Age,sin_hour,cos_hour,sin_weekday,cos_weekday,sin_month,cos_month,sin_ordate,cos_ordate,year,UV,Rain,Wind_Speed,sin_wind,cos_wind,PM10,NO2,SO2,O3,CO
2888,2888,2021-05-01 01:00:00,27485735.81302084,27485735.81302084,10107575.266666668,5295413.666666667,6742857.416666667,2655830.8833333333,103.81,101.655,89.1,87.94,85.37166666666667,87.40833333333333,4.032166666666667,4.020666666666666,2.947833333333333,2.95,2.1925000000000003,2.28,39.095,21.23,986.8766666666668,2379.4173333333333,9248400.0,9248400.0,9248400.0,9248400.0,176400.0,176400.0,0.2202965886734546,0.1414508129027477,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,0.0,0.0,0.8833333333333333,-0.0034015752600315,0.017118606997564,9.0,12.0,1.0,49.0,0.6960000000000006
2889,2889,2021-05-01 02:00:00,19741943.69231771,19741943.69231771,10583855.2,5306430.283333333,5065445.9,2342122.6,103.94166666666666,101.77666666666669,89.24,88.095,85.47666666666667,87.49833333333332,4.033166666666667,4.0216666666666665,2.949166666666667,2.9498333333333333,2.1940000000000004,2.28,41.766666666666666,18.68,986.38,2322.0971666666665,9252000.0,9252000.0,9252000.0,9252000.0,180000.0,180000.0,0.2380535096703053,-0.1089469870425945,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,0.0,0.0,0.8333333333333334,-0.0126558661303385,-0.0120185886142116,9.0,13.0,1.0,42.0,0.7000000000000001
2890,2890,2021-05-01 03:00:00,13458304.079978814,13458304.079978814,10773538.593220338,5291025.491525424,4393868.135593221,2250968.627118644,103.9542372881356,101.78644067796613,89.25254237288135,88.12033898305086,85.48983050847457,87.53728813559322,4.032372881355932,4.021016949152542,2.9486440677966104,2.950508474576272,2.194406779661017,2.280677966101695,42.05423728813559,18.049152542372884,986.3457627118644,2319.518813559322,9255600.0,9255600.0,9255600.0,9255600.0,183600.0,183600.0,0.0369451317162842,-0.2591794295357481,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,0.0,0.0,0.9,-0.0042303431442247,0.01693285612851,9.0,13.0,1.0,32.0,0.6939999999999997
2891,2891,2021-05-01 04:00:00,9973675.11002604,9973675.11002604,10849212.166666666,5249247.533333333,3975306.5,2144965.15,104.005,101.82833333333332,89.28999999999999,88.15833333333333,85.525,87.54166666666667,4.033166666666667,4.020833333333333,2.949,2.950333333333333,2.1950000000000003,2.28,42.79666666666667,17.05,986.1666666666666,2359.843333333333,9259200.0,9259200.0,9259200.0,9259200.0,187200.0,187200.0,-0.1981304299564842,-0.1711234997809129,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,0.0,0.0,1.1666666666666667,0.0103419585794729,0.0140592073932769,7.0,11.0,1.0,28.0,0.691333333333333
2892,2892,2021-05-01 05:00:00,9504599.97109375,9504599.97109375,10858450.833333334,5196105.116666666,4005057.4166666665,2168709.1333333333,104.02333333333333,101.82666666666668,89.28833333333334,88.14666666666668,85.52666666666667,87.53833333333334,4.034666666666667,4.021333333333333,2.9488333333333334,2.9508333333333336,2.1950000000000003,2.2801666666666667,42.59166666666667,16.635,985.9883333333332,2428.6435,9262800.0,9262800.0,9262800.0,9262800.0,190800.0,190800.0,-0.251045788052553,0.0742625864960414,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,34.6,0.0,1.2,-0.0167936960296668,-0.0047528090062466,7.0,13.0,1.0,27.0,0.6960000000000003
2893,2893,2021-05-01 06:00:00,8011099.533463541,8011099.533463541,10812476.683333334,5123128.733333333,3738301.9166666665,2118568.083333333,104.015,101.855,89.315,88.185,85.51166666666667,87.57166666666667,4.033,4.021333333333333,2.9488333333333334,2.9505,2.1936666666666667,2.2801666666666667,42.86,16.006666666666668,986.325,2501.7591666666663,9266400.0,9266400.0,9266400.0,9266400.0,194400.0,194400.0,-0.0731508063700731,0.2513719932279996,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,412.3,0.0,1.8166666666666669,-0.0075193843481942,0.0157504374164922,6.0,19.0,1.0,18.0,0.7133333333333338
2894,2894,2021-05-01 07:00:00,7612666.875911458,7612666.875911458,10912577.45,5164574.816666666,3828496.05,2114561.6333333333,104.02166666666668,101.84666666666666,89.295,88.15833333333333,85.50333333333333,87.56833333333334,4.033,4.021166666666667,2.948166666666667,2.950333333333333,2.1940000000000004,2.2801666666666667,42.88166666666667,16.076666666666668,986.775,2492.627,9270000.0,9270000.0,9270000.0,9270000.0,198000.0,198000.0,0.1719986893368244,0.1973711486474757,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,892.5,0.0,3.0500000000000003,0.0003089568770309,0.0174505577399361,8.0,20.0,1.0,21.0,0.716666666666667
2895,2895,2021-05-01 08:00:00,13015184.653125,13015184.653125,10594823.933333334,5122217.183333334,4568228.65,2253814.6333333333,103.955,101.79833333333332,89.26,88.12333333333332,85.49,87.56,4.031000000000001,4.020833333333333,2.948666666666667,2.950166666666667,2.1933333333333334,2.28,42.306666666666665,16.688333333333333,986.3883333333332,2580.167,9273600.0,9273600.0,9273600.0,9273600.0,201600.0,201600.0,0.2590133832800412,-0.0380918197758505,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,1652.0,0.0,1.8333333333333333,-0.0170050288792709,-0.0039301924382745,7.0,17.0,1.0,31.0,0.7133333333333337
2896,2896,2021-05-01 09:00:00,19768054.1921875,19768054.1921875,10297386.683333334,5161203.833333333,6306258.316666666,2469955.683333333,103.92333333333332,101.75,89.22666666666667,88.05,85.44000000000001,87.545,4.032500000000001,4.020333333333332,2.9483333333333333,2.9498333333333333,2.192,2.28,40.98833333333334,18.261666666666667,986.3266666666666,2621.518,9277200.0,9277200.0,9277200.0,9277200.0,205200.0,205200.0,0.1078923671370046,-0.238533344766687,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,2104.4,0.0,1.9166666666666667,-0.0092999131730925,-0.0147691920821569,5.0,12.0,1.0,48.0,0.7166666666666665
2897,2897,2021-05-01 10:00:00,37709210.71289063,37709210.71289063,9467638.833333334,5109432.3,8633078.0,2669586.583333333,103.89333333333336,101.72666666666667,89.17166666666667,87.99333333333334,85.42333333333333,87.53,4.032666666666667,4.0215,2.9483333333333333,2.949166666666667,2.192,2.2801666666666667,40.31166666666666,18.936666666666667,985.8466666666668,2777.203666666667,9280800.0,9280800.0,9280800.0,9280800.0,208800.0,208800.0,-0.1424243937806502,-0.2196684126319114,-0.8607284161801819,0.254614582272142,-0.5020915761051061,0.1485251729920828,0.0156776600230056,0.0069944838265535,2021,2352.0,0.0,1.4333333333333331,0.0032499199229088,-0.0171480447947102,4.0,11.0,1.0,58.0,0.7320000000000001
