Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	HUM_BME	HUM	TEMP_BME	TEMP	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Apr 29 2021 00:00:00	38222223	59377778.06666667	350794.93333333335	685128.1	498922413.8666667	353512180.53333336	135155243.2	499000000	104.11000000000003	101.28499999999998	90.93833333333336	90.49000000000001	39.04666666666665	102.42500000000003	104.19666666666663	500	7.300000000000008	16.446666666666665	43.80000000000002	41.58166666666667	NaN	NaN	NaN	NaN	NaN
Apr 29 2021 01:00:00	32960000.133333333	49777778.666666664	435698.51666666666	814899.8	376861841.06666666	181751533.6	106521812.4	499000000	104.14166666666665	101.33333333333331	91.00999999999999	90.54666666666668	39.09833333333331	102.43333333333334	104.24999999999999	500	7.300000000000008	16.263333333333335	43.80000000000002	42.47500000000001	39	13	70	1	0.8
Apr 29 2021 02:00:00	31566101.694915254	42124295.050847456	563501.5762711865	941747.2033898305	243064907.3898305	123062436.20338982	95547134.10169491	499000000	104.2745762711865	101.44406779661017	91.14406779661019	90.67796610169493	39.2135593220339	102.5322033898305	104.35254237288139	500	7.300000000000008	14.506779661016944	43.80000000000001	44.86610169491525	41	13	74	1	0.8
Apr 29 2021 03:00:00	30506666.666666668	41600001.2	656876.8833333333	994876.2333333333	202813741.6	111235151.06666666	89472535.6	499000000	104.28166666666672	101.45166666666664	91.17333333333335	90.705	39.224999999999994	102.55333333333331	104.39499999999998	500	7.300000000000008	14.251666666666669	43.80000000000002	45.280000000000015	43	13	72	1	0.8
Apr 29 2021 04:00:00	30278095.233333334	41600001.2	710105.2833333333	1015071	184490530.66666666	106459481.73333333	85941232	499000000	104.28833333333338	101.46166666666666	91.20333333333336	90.69833333333337	39.22499999999998	102.55833333333332	104.40166666666669	500	7.300000000000008	14.226666666666665	43.80000000000002	45.16333333333333	41	12	72	1	0.8
Apr 29 2021 05:00:00	26666666.666666668	35911111.6	780810.55	1042260.15	143248919.06666666	84941175.06666666	75269597.46666667	499000000	104.28333333333339	101.45666666666665	91.21333333333334	90.71000000000002	39.228333333333325	102.56500000000003	104.40166666666666	500	7.300000000000008	14.116666666666667	43.80000000000002	45.364999999999995	43	14	67	1	0.8
Apr 29 2021 06:00:00	25600000	33137777.933333334	847095.3833333333	1060050.8333333333	131249580.4	80542527.26666667	67481878.26666667	499000000	104.29333333333331	101.45333333333333	91.20999999999997	90.71499999999999	39.23166666666665	102.57666666666668	104.41166666666665	500	7.300000000000008	14.001666666666667	43.80000000000002	45.45000000000002	43	18	60	1	0.9
Apr 29 2021 07:00:00	24732203.525423728	30589830.508474577	913497.9322033898	1072474.3050847459	120945121.08474576	76568512.54237288	60593452.20338983	499000000	104.28305084745764	101.46101694915254	91.20677966101691	90.70677966101691	39.218644067796596	102.55932203389835	104.39661016949147	500	7.300000000000008	14.01525423728814	43.80000000000001	45.27288135593219	37	23	54	1	1.0
Apr 29 2021 08:00:00	22603175	27733333.333333332	974304.2333333333	1088328.1333333333	113983845.73333333	70488405.46666667	52893402.86666667	499000000	104.32000000000002	101.46166666666666	91.19166666666666	90.70833333333334	39.215	102.55166666666669	104.38833333333332	500	7.300000000000008	14.248333333333333	43.80000000000002	45.05333333333333	32	29	48	1	1.0
Apr 29 2021 09:00:00	22582857.566666666	27235555.566666666	1007585.25	1087801.9333333333	121838162.53333333	74879606.93333334	53415508.86666667	499000000	104.27	101.43333333333334	91.17833333333334	90.685	39.18499999999999	102.53666666666668	104.35333333333334	500	7.300000000000008	14.975000000000001	43.80000000000002	44.488333333333344	25	29	51	1	0.9
Apr 29 2021 10:00:00	25636781.620689657	33434482.96551724	939559.948275862	1059835.2931034483	139449548.55172414	92120814	68965895.79310344	499000000	104.23965517241385	101.44137931034479	91.17586206896553	90.67931034482763	39.17931034482756	102.54655172413794	104.37068965517241	500	7.300000000000008	14.822413793103449	43.80000000000001	44.64655172413792	19	23	60	1	0.9
Apr 29 2021 11:00:00	27733333.333333332	37511111.8	876637.2166666667	1038612.3	152044306.66666666	101467281.06666666	75738336.6	499000000	104.21000000000001	101.38333333333335	91.16333333333337	90.66500000000002	39.18333333333332	102.52999999999999	104.3333333333333	500	7.300000000000008	14.80166666666667	43.80000000000002	44.521666666666675	13	22	62	1	0.9
Apr 29 2021 12:00:00	33493333.533333335	49066667.6	753464.2333333333	978789.7833333333	217101702.4	146846398.13333333	97184608.8	499000000	104.25666666666667	101.38333333333334	91.11833333333337	90.63166666666669	39.14833333333331	102.4883333333334	104.34333333333329	500	7.300000000000008	15.296666666666669	43.80000000000002	43.67333333333333	9	15	72	1	0.8
Apr 29 2021 13:00:00	36444445	59022222.53333333	645569.6833333333	933227.5666666667	305643553.06666666	195748782.4	109969632.13333334	499000000	104.16000000000007	101.34833333333336	91.05333333333333	90.60666666666671	39.10999999999999	102.46666666666663	104.295	500	7.300000000000008	15.756666666666664	43.80000000000002	42.98666666666667	10	15	76	1	0.8
Apr 29 2021 14:00:00	52278482.78947368	71004194.94736843	112177821.63157895	110998754.36842105	274391184.1052632	176211860.28947368	258076202.9473684	405108491.57894737	90.15789473684212	87.90789473684208	80.43421052631577	80.1	52.66052631578948	81.75263157894737	83.77894736842104	271.91052631578947	23.665789473684214	26.736842105263158	33.876315789473686	35.95263157894736	11	16	77	1	0.8
