Time	R1	R2	R3	R4	R5	R6	R7	R8	T1	T2	T3	T4	T5	T6	T7	T8	TEMP_BME	TEMP	HUM_BME	HUM	PM10	Biossido di Azoto	Ozono	Biossido Zolfo	Ossido di Carbonio
Jul 01 2021 00:00:00	21333334	21333334	8835460.683333334	4753525.083333333	103267757.73333333	107561934.26666667	7773932.716666667	150323112	89.21666666666667	87.59666666666672	89.5316666666667	90.46000000000001	100.40666666666662	98.92166666666665	101.56999999999996	102.02333333333331	38.085000000000015	40.13	20.298333333333332	18.90333333333333	NaN	NaN	NaN	NaN	NaN
Jul 01 2021 01:00:00	23040000.4	21333334	8432733.033333333	4579404.166666667	88841326	94205918.4	7296468.616666666	152342871.73333332	89.17499999999998	87.55500000000004	89.5050000000001	90.42000000000006	100.31166666666655	98.92333333333337	101.50333333333339	101.99333333333342	37.54500000000001	39.574999999999996	20.76666666666667	19.333333333333332	7	14	41	1	0.6
Jul 01 2021 02:00:00	21973333.9	19911111.333333332	10221218.65	5796746.05	100019753.06666666	103325755.86666666	7083867.216666667	156210038.4	89.05500000000002	87.40666666666667	89.40333333333332	90.34166666666671	100.21999999999994	98.79499999999999	101.38833333333335	101.87833333333337	35.17	37.20666666666668	22.878333333333334	21.37833333333333	8	13	39	1	0.6
Jul 01 2021 03:00:00	22826667.1	20723810	8592901.6	4665376.533333333	82311991.73333333	88108612.93333334	6603369.183333334	156557000.26666668	89.105	87.45666666666669	89.445	90.3616666666667	100.26666666666662	98.84500000000006	101.39500000000004	101.92166666666667	35.964999999999996	38.015	22.116666666666667	20.59833333333334	8	12	35	1	0.6
Jul 01 2021 04:00:00	23040000.4	20571429	7465935.75	3960440.9833333334	79297380.53333333	86839588.8	6242700.85	157251343.73333332	89.11833333333331	87.47833333333331	89.44666666666667	90.37000000000003	100.25499999999995	98.85666666666673	101.39500000000002	101.93500000000002	36.169999999999995	38.214999999999996	21.77833333333333	20.308333333333334	8	13	30	1	0.6
Jul 01 2021 05:00:00	24746666.8	21475556.2	6006186.15	3238450.533333333	56718215.4	66838332.86666667	5884191.366666666	158393294.93333334	89.12833333333332	87.49833333333329	89.4583333333333	90.3766666666667	100.31333333333332	98.86666666666673	101.39999999999996	101.93666666666667	36.233333333333334	38.286666666666655	21.738333333333333	20.258333333333326	7	15	24	1	0.7
Jul 01 2021 06:00:00	25600000	23430508.813559324	5063875.542372881	2868338.5084745763	41406239.69491526	52216075.3220339	5586158.050847458	158079694.37288135	89.10677966101696	87.4559322033898	89.4542372881356	90.35932203389837	100.2881355932203	98.84915254237296	101.38305084745764	101.9542372881356	36.11864406779661	38.17627118644068	21.64915254237288	20.15593220338984	7	19	19	1	0.7
Jul 01 2021 07:00:00	25708474.576271188	24153672.542372882	5001326.457627119	2861599.881355932	34425699.9661017	44014729.89830509	5343306.305084745	157134772.6101695	89.14067796610165	87.48135593220336	89.46949152542369	90.36949152542373	100.28983050847457	98.86779661016956	101.43559322033892	101.94745762711861	36.24576271186441	38.310169491525436	21.408474576271193	19.91186440677967	7	22	20	1	0.7
Jul 01 2021 08:00:00	25600000	21353651.433333334	7909017.016666667	4311957.133333334	59101739.666666664	67153989.46666667	5353599.866666666	159925860.26666668	89.08	87.32000000000002	89.39000000000001	90.31500000000007	100.21333333333328	98.7666666666667	101.29500000000002	101.84666666666674	33.783333333333296	35.808333333333316	23.595000000000013	21.993333333333336	7	18	26	1	0.7
Jul 01 2021 09:00:00	23537778.1	20622222.666666668	7477662.566666666	4082782.966666667	67706155.66666667	76232246.33333333	5079990.816666666	157007647.73333332	89.1383333333333	87.46833333333328	89.46999999999998	90.39333333333327	100.30666666666666	98.86999999999999	101.41333333333333	101.95499999999996	36.141666666666666	38.233333333333334	21.521666666666665	19.98833333333334	7	16	29	1	0.7
Jul 01 2021 10:00:00	21617778.4	19047619	10283993.95	6020610.5	106326875.33333333	108059435.2	4634751.366666666	133593235.13333334	89.1516666666667	87.47500000000004	89.48500000000003	90.38999999999996	100.26500000000001	98.82500000000006	101.40666666666665	101.91499999999995	35.34833333333332	37.426666666666684	22.365000000000006	20.77333333333333	4	NaN	NaN	2	0.7
Jul 01 2021 11:00:00	20419048	19403174.666666668	11444906.766666668	7782757.95	124900037.46666667	122868842.4	4633503.2	130289428	89.11999999999993	87.53333333333336	89.50166666666668	90.42166666666665	100.32833333333332	98.89166666666667	101.4366666666667	101.95333333333335	36.526666666666664	38.663333333333334	21.00166666666667	19.33666666666666	4	NaN	51	NaN	0.7
Jul 01 2021 12:00:00	16080423.1	16308994.566666666	12730037.133333333	9680984.016666668	173405947.46666667	161867839.6	4781367.466666667	142934179.06666666	89.38833333333336	87.75333333333334	89.64499999999998	90.57	100.52833333333336	99.08666666666667	101.62500000000001	102.12166666666664	40.13833333333332	42.22499999999998	17.828333333333333	16.26	3	9	63	2	0.7
Jul 01 2021 13:00:00	12843097.7	13534814.7	15151780.85	12511031.316666666	200139580.53333333	179955395.46666667	4818682.783333333	149716988.53333333	89.41333333333333	87.83666666666672	89.65666666666667	90.59833333333334	100.55499999999999	99.18666666666665	101.65999999999998	102.1666666666666	40.75333333333336	42.78666666666668	17.140000000000004	15.60166666666667	3	12	68	2	0.7
Jul 01 2021 14:00:00	11389830.86440678	12306933.898305085	16816642.93220339	14453330.38983051	201161056.81355932	177748592.81355932	4738830.830508474	149776619.93220338	89.39999999999998	87.78983050847461	89.67118644067791	90.60169491525426	100.55254237288133	99.16949152542371	101.6593220338983	102.16610169491521	40.81186440677967	42.84915254237288	16.866101694915248	15.250847457627124	3	14	73	2	0.7
