,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,19.46618453661601,0.7691891186921838,0.4161082108815511,0.0557578794758253,2000,2,1,sqrt,,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",-0.09591461700359327,-0.3960163846655869,-1.784131161406596,-0.7586873876919253,0.7353758528925199,91
1,8.553831497828165,0.057502379716899664,0.23029510180155435,0.01027764889417791,1788,2,2,sqrt,80,True,"{'n_estimators': 1788, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': True}",-0.09370127939765953,-0.3707998023146614,-1.7080876472560773,-0.724196242989466,0.7048534691186953,38
2,6.398646831512451,0.19774625913694727,0.11657460530598958,0.013981270169403513,733,2,1,sqrt,,False,"{'n_estimators': 733, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",-0.10899636729728383,-0.38740893472324256,-1.8116688148146176,-0.7693580389450481,0.7457377575464209,98
3,4.521424611409505,0.12676788776368225,0.13063875834147134,0.03772684506740288,733,2,2,sqrt,10,False,"{'n_estimators': 733, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-0.112399455610611,-0.36192006046559855,-1.7119637420047706,-0.7287610860269934,0.7026524651172945,47
4,9.49983278910319,0.9360528452151496,0.3470757007598877,0.09053212246028304,1788,2,4,sqrt,90,True,"{'n_estimators': 1788, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",-0.08550762515741932,-0.37456619988682593,-1.6187214489332726,-0.692931757992506,0.6651834978887651,9
5,0.6393547852834066,0.005111367450104538,0.017070770263671875,0.0005359588497690784,100,5,4,sqrt,80,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': False}",-0.12561508565670676,-0.43318682367384387,-1.6534372465859375,-0.7374130519721627,0.6597854890518492,65
6,4.434950749079387,0.42936043083743214,0.08901810646057129,0.0046842052830511505,522,10,2,sqrt,70,False,"{'n_estimators': 522, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",-0.11521824052423317,-0.41016316241831136,-1.7451002582618855,-0.7568272204014767,0.7091125085904478,89
7,21.266098976135254,0.280254401571389,0.3082266648610433,0.04732012697257942,1577,2,1,sqrt,80,False,"{'n_estimators': 1577, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': False}",-0.10232680209944878,-0.387214743915711,-1.789495310155569,-0.7596789520569095,0.7374196378380342,93
8,9.897842168807983,0.19830282932643262,0.22524070739746094,0.013222710268607451,1366,10,1,sqrt,110,True,"{'n_estimators': 1366, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",-0.08365182556858904,-0.3582445291268432,-1.7049998375884232,-0.7156320640946184,0.7085133410331449,27
9,14.2389657497406,0.4611521722308022,0.29196596145629883,0.031465549718746974,1577,10,4,sqrt,,False,"{'n_estimators': 1577, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",-0.11605575832337545,-0.4052008062888004,-1.658409069329308,-0.726555211313828,0.6694101504132739,41
10,6.651502688725789,0.281584121815171,0.16291062037150064,0.017847762797325667,944,5,2,sqrt,80,True,"{'n_estimators': 944, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 80, 'bootstrap': True}",-0.09716373548393735,-0.36996860907623064,-1.7287869801426448,-0.7319731082342709,0.7135984146963191,56
11,3.1434268156687417,0.05350874872424567,0.05704665184020996,0.0009778473649672825,311,2,2,sqrt,110,False,"{'n_estimators': 311, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': False}",-0.1285163770860077,-0.41386231577848526,-1.6548895136445865,-0.7324227355030265,0.662603095758552,58
12,11.12368369102478,0.1609563820465567,0.26346755027770996,0.01885212905767291,1366,2,1,sqrt,20,True,"{'n_estimators': 1366, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-0.09917843520621354,-0.3583983981571472,-1.7493971955624976,-0.7356580096419528,0.7245914251499289,62
13,6.664025227228801,0.07098634406581142,0.14967449506123862,0.003064842116621428,944,10,4,sqrt,10,False,"{'n_estimators': 944, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-0.103549328364628,-0.38791485962905886,-1.6626718379322085,-0.7180453419752985,0.6779652653298683,29
14,9.850725173950195,0.08061480783603915,0.24603533744812012,0.008534607174741398,1577,10,1,sqrt,70,True,"{'n_estimators': 1577, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",-0.07819401920831641,-0.35216090125156807,-1.696473395250674,-0.7089427719035196,0.7071902205915275,21
